WS2M,PRECTOTCORR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,WS10M,ALLSKY_SFC_SW_DWN,TS,T2M,WS50M,PS,QV2M,ALLSKY_SFC_UV_INDEX
4.02,0.02,145.88,149.98,6.11,7.96,11.83,11.49,8.04,100.61,6.65,1.88
2.4,0,150.21,151.5,3.8,8.32,11.99,12.05,5.48,100.52,5.86,1.9
2.02,0,150.98,151.57,3.3,8.43,12.36,12.69,4.76,100.64,5.49,1.95
3.61,0.03,151.75,153.65,5.48,8.27,11.62,11.18,7.19,100.61,6.29,2.2
3.05,0,147.71,152.47,4.7,8.2,11.76,11.54,6.47,100.48,6.1,2.09
1.95,0,149.48,152.23,3.24,8.28,12.98,13.48,4.75,100.72,6.1,-999
1.97,0.05,119.11,148.78,3.22,6.49,12.33,12.28,4.54,101.05,6.9,1.7
3.52,0,150.03,152.31,5.47,8.11,11.79,11.45,7.35,101,6.65,2.19
2.56,0,151.84,154.54,4,8.33,12.97,12.9,5.39,100.4,7.14,2.14
2.17,0.02,138.57,153.62,3.41,7.47,13.2,13.3,4.63,100.19,7.14,2.1
2.75,0,147.04,153.05,4.28,8.04,12.89,12.63,5.67,100.42,7.02,2.27
3.19,0.01,131.55,155.41,4.91,6.94,12.75,12.4,6.47,100.35,7.08,2.06
3.04,0.03,152.16,156.62,4.67,8.23,11.22,10.74,6.22,100.33,6.1,2.34
2.3,10.95,81.52,153.31,3.82,4.16,11.67,11.79,6.02,100.1,7.51,1.22
2.52,10.36,111.29,154.6,4.06,5.88,10.52,10.79,6.27,100.23,7.02,1.47
2.16,1.22,141.84,152.16,3.3,7.74,11.62,11.31,4.53,100.97,6.65,1.72
2.18,0.01,155.86,156.62,3.42,8.47,12.12,11.61,4.66,100.94,6.16,2.15
2.1,0.03,156.33,157.23,3.43,8.57,14,14.16,5.02,100.46,6.65,2.12
1.46,0,148.09,155.55,2.44,8.02,15.28,15.78,3.49,100.22,7.63,2.08
2.08,0.13,103.08,151.76,3.34,5.45,14.09,13.74,4.59,100.24,8.18,1.55
2.62,0.01,101.95,153.18,4.14,5.3,14.14,13.8,5.67,100.32,8.3,1.52
1.91,0.03,109.59,156.88,3.13,5.59,13.92,13.59,4.41,100.47,8.42,1.68
1.83,0.04,114.5,156.72,3.06,5.87,15.15,14.87,4.35,100.55,8.97,1.84
